comp_name,ticker,year,segment,industry,hq_country,ceo_sust_statem,sales,env_policy,ep_targets,env_impact_red,energy_consump,incr_renew_en,disclosure_raw,resource_target,water_withdraw,water_disclose,ghg_emis,transport_emis,years_es_report,audit_es_report,su_guidelines,su_aud_disclose,su_eva_disclose,su_env_assess,earn_per_share
ABB Ltd,ABB,2019.0,Large,Industrial Goods and Services,Switzerland,1,20137.5,1,1,1,9637200,1,0,1,8554,1,998,6182,10,1,1,1,1,1,0.598214286
ABB Ltd,ABB,2020.0,Large,Industrial Goods and Services,Switzerland,1,23333.92857,1,1,1,5817600,0,0,1,3283.07,0,561,6126,11,1,1,1,1,1,1.891964286
ABB Ltd,ABB,2021.0,Large,Industrial Goods and Services,Switzerland,1,25843.75,1,1,1,5590800,0,0,1,2839,0,405,125117,9,1,1,1,1,1,2.044642857
ABB Ltd,ABB,2022.0,Large,Industrial Goods and Services,Switzerland,,27963.91263,1,1,1,5101200,1,0,1,2815,1,223,126627,11,0,1,1,1,1,1.253561254
Cavotec SA,CCC,2014.0,Mid,Industrial Goods and Services,Switzerland,1,235.5,1,1,1,,0,0,1,,0,,,8,0,1,0,0,0,0.14
Cavotec SA,CCC,2015.0,Mid,Industrial Goods and Services,Switzerland,0,232.2,1,1,1,,0,0,0,,0,,,3,0,1,0,0,1,0.08
Cavotec SA,CCC,2016.0,Mid,Industrial Goods and Services,Switzerland,1,211.5,1,,1,,0,0,,,0,,,10,0,0,0,0,,0.1
Cavotec SA,CCC,2017.0,Mid,Industrial Goods and Services,Switzerland,0,212.4,1,0,1,,0,0,0,,0,,,3,0,0,0,0,0,0
Cavotec SA,CCC,2018.0,Mid,Industrial Goods and Services,Switzerland,0,196.961,1,0,0,,0,0,0,,0,,,5,0,0,0,0,0,0.233
Cavotec SA,CCC,2019.0,Mid,Industrial Goods and Services,Switzerland,1,196,1,1,1,,0,0,0,,0,,,5,0,1,0,0,0,0.08
Cavotec SA,CCC,2020.0,Mid,Industrial Goods and Services,Switzerland,1,158.437,1,0,1,,0,0,0,,0,,,8,0,0,0,0,1,-0.042
Cavotec SA,CCC,2021.0,Mid,Industrial Goods and Services,Switzerland,1,115.794,1,0,1,12704.4,0,0,0,56.5,0,1.219,0.331,15,0,1,0,0,1,-0.013
