company,ticker,year,csrd_2025,csrd_2027,segment,industry,hq_country,base_year,external_audit_of_ESG_report,revenue_MEUR,energy_consump_GJ,water_withdraw_thm3,ghg_emis_kt,transport_emis_kt,ghg_emis_per_MEUR_revenue,water_withdraw_per_MEUR_revenue
Rockwool International A/S,ROCK,2020,1,0,Large,Industrial Goods and Services,Denmark,2019,0,2602.0,,,,,,
FLSmidth & Co. A/S,FLS,2019,1,0,Large,Industrial Goods and Services,Denmark,2019,1,2763.855422,,221.613,44.862,42.066,0.01623167393015683,0.08018255884008392
FLSmidth & Co. A/S,FLS,2020,1,0,Large,Industrial Goods and Services,Denmark,2019,1,2200.937082,,197.346,36.831,,0.016734235749497905,0.0896645349901011
FLSmidth & Co. A/S,FLS,2021,1,0,Large,Industrial Goods and Services,Denmark,2019,1,2353.547523,,201.997,34.737,193021.799,0.014759421537289263,0.08582660771706882
FLSmidth & Co. A/S,FLS,2022,1,0,Large,Industrial Goods and Services,Denmark,2019,0,2936.865576,,178.064,39.079,127400.0,0.013306363191884815,0.0606306265615747
A.P. Møller -Maersk A/S,MAERSK,2020,1,0,Large,Industrial Goods and Services,Denmark,2019,1,35482.14286,432767000.0,1736.0,34207.0,19017.0,0.9640624055590086,0.048926019120368314
A.P. Møller -Maersk A/S,MAERSK,2021,1,0,Large,Industrial Goods and Services,Denmark,2019,1,55166.96429,473188000.0,1834.0,37173.0,28952.0,0.67382718042251,0.03324453363717977
A.P. Møller -Maersk A/S,MAERSK,2022,1,0,Large,Industrial Goods and Services,Denmark,2019,0,77425.45109,447345000.0,916.0,34506.0,43451.0,0.44566740670183413,0.011830735076186174
A.P. Møller -Maersk A/S,MAERSK,2019,1,0,Large,Industrial Goods and Services,Denmark,2019,1,34723.21429,463815000.0,1696.0,36491.0,,1.0509107738481775,0.048843404468129376
Schouw & Co. A/S,SCHO,2019,1,0,Large,Industrial Goods and Services,Denmark,2019,0,2804.729,,,,,,
Schouw & Co. A/S,SCHO,2020,1,0,Large,Industrial Goods and Services,Denmark,2019,0,2847.791165,2803006.8,1199.72,222.713,,0.07820552389416517,0.4212808912201257
Schouw & Co. A/S,SCHO,2021,1,0,Large,Industrial Goods and Services,Denmark,2019,0,3242.168675,2968221.6,1163.416,231.184,,0.07130535859612548,0.35883882568201053
Schouw & Co. A/S,SCHO,2022,1,0,Large,Industrial Goods and Services,Denmark,2019,0,4386.950515,1465308.0,1177.187,220.34,,0.05022623329043865,0.268338335701514
MT Højgaard A/S (formerly known as Højga,MTHH,2021,1,0,Mid,Industrial Goods and Services,Denmark,2020,0,964.2570281,130108.0,16.853,8.074,,0.008373286130886953,0.017477705123091134
MT Højgaard A/S (formerly known as Højga,MTHH,2022,1,0,Mid,Industrial Goods and Services,Denmark,2020,1,1163.293947,,15.452,14.236,98.322,0.01223766360747685,0.013282971204181811
MT Højgaard A/S (formerly known as Højga,MTHH,2020,1,0,Mid,Industrial Goods and Services,Denmark,2020,0,796.6532798,115853.0,,7.668,,0.009625266341619849,
Brødrene Hartmann A/S,HART,2019,1,0,Mid,Industrial Goods and Services,Denmark,2019,0,315.4484605,,,,,,
Brødrene Hartmann A/S,HART,2020,1,0,Mid,Industrial Goods and Services,Denmark,2019,0,343.6947791,,,,,,
Brødrene Hartmann A/S,HART,2021,1,0,Mid,Industrial Goods and Services,Denmark,2019,0,367.3360107,3529335.6,1846.596,207.625,197.197,0.5652182033673945,5.02699421295806
Brødrene Hartmann A/S,HART,2022,1,0,Mid,Industrial Goods and Services,Denmark,2019,0,450.2951934,,1632.884,210.667,259.665,0.46784199140421023,3.626252342759295
RTX A/S,RTX,2019,0,1,Mid,Other,Denmark,2019,0,75.00669344,,,,,,
RTX A/S,RTX,2020,0,1,Mid,Other,Denmark,2019,0,74.41767068,3222.0,,,,,
RTX A/S,RTX,2021,0,1,Mid,Other,Denmark,2019,0,61.19906292,2602.8,,0.5425,,0.008864514816332419,
RTX A/S,RTX,2022,0,1,Mid,Other,Denmark,2019,0,89.15844829,2545.2,,0.5506,,0.0061755224609685725,
Columbus A/S,COLUM,2019,1,0,Mid,Technology,Denmark,2019,0,258.5922356,,,,,,
Columbus A/S,COLUM,2020,1,0,Mid,Technology,Denmark,2019,0,221.5171352,,,,,,
Columbus A/S,COLUM,2021,1,0,Mid,Technology,Denmark,2019,0,198.3692102,,,,,,
Columbus A/S,COLUM,2022,1,0,Mid,Technology,Denmark,2019,0,204.7746291,,,0.24542,1.63087,0.0011984883140975008,
Vestas Wind Systems A/S,VWS,2019,1,0,Large,Energy and Utilities,Denmark,2019,0,12147.0,2296800.0,473.0,,,,0.03893965588211081
Genmab A/S,GMAB,2019,0,1,Large,Health Care,Denmark,2019,0,510.9502952,,,,,,
Genmab A/S,GMAB,2020,0,1,Large,Health Care,Denmark,2019,0,1353.547523,,,,,,
Genmab A/S,GMAB,2021,1,0,Large,Health Care,Denmark,2019,0,1135.475234,10530.0,,0.6387,,0.0005624957558519502,
Genmab A/S,GMAB,2022,1,0,Large,Health Care,Denmark,2019,0,1961.808462,11257.19999,,0.3938,,0.0002007331539382462,
GN Store Nord A/S,GN,2019,1,0,Large,Health Care,Denmark,2019,0,1683.266399,34765.2,50.1,155.0,,0.09208286940919326,0.029763559725165048
GN Store Nord A/S,GN,2020,1,0,Large,Health Care,Denmark,2019,0,1800.401606,,,11.776,,0.006540762883545217,
GN Store Nord A/S,GN,2021,1,0,Large,Health Care,Denmark,2019,0,2111.780455,,,13.59,428.076,0.00643532805118229,
