,comp_name,ticker,year,gvkey,org_number,isin,finbas_id,segment,industry,supersector,supersector_icb,hq_country,ceo_sust_statem,reported_curr,sales,env_policy,ep_targets,env_impact_red,energy_consump,incr_renew_en,disclosure_raw,resource_target,water_withdraw,water_disclose,ghg_emis,transport_emis,years_es_report,audit_es_report,su_guidelines,su_aud_disclose,su_eva_disclose,su_env_assess,earn_per_share,combined
52,Höegh LNG Holdings,HLNG,2019.0,298256.0,ND,BMG454221059,6828,Mid,Oil & Gas,Oil & Gas,500,Bermuda,Y,USD,300.1223214,Y,Y,Y,18338400,N,N,N,ND,N,1030.688,ND,7,N,Y,0.777777778,N,Y,-0.348214286,Höegh LNG Holdings (HLNG)
53,Höegh LNG Holdings,HLNG,2020.0,298256.0,NO989 837 877,BMG454221059,6828,Mid,Oil & Gas,Energy,6010,Bermuda,Y,USD,299.2285714,Y,Y,Y,16516800,N,N,Y,ND,N,930.5132,ND,0,N,Y,Y,N,Y,-0.526785714,Höegh LNG Holdings (HLNG)
54,Höegh LNG Holdings,HLNG,2015.0,298256.0,ND,BMG454221059,6828,Mid,Oil & Gas,Oil & Gas,500,Bermuda,Y,USD,182.3,Y,Y,Y,9612000,N,N,N,ND,N,532,ND,5,N,Y,N,N,Y,-0.49,Höegh LNG Holdings (HLNG)
55,Höegh LNG Holdings,HLNG,2016.0,298256.0,ND,BMG454221059,6828,Mid,Oil & Gas,Oil & Gas,500,Bermuda,N,USD,203.8,Y,N,N,8431200,N,N,N,ND,N,470.9,ND,ND,N,Y,Y,N,Y,0,Höegh LNG Holdings (HLNG)
56,Höegh LNG Holdings,HLNG,2017.0,298256.0,ND,BMG454221059,6828,Mid,Oil & Gas,Oil & Gas,500,Bermuda,Y,USD,225.9,Y,Y,Y,11646000,N,N,N,ND,N,639.7,ND,5,N,Y,Y,N,Y,0.2,Höegh LNG Holdings (HLNG)
57,Jinhui Shipping,JIN,2021.0,205775.0,,BMG5137R1088,.,Mid,Industrials,Industrial Goods & Services,5020,Bermuda,N,USD,117.0258929,Y,Y,Y,ND,N,N,N,49000,N,ND,ND,7,N,N,N,N,N,1.586607143,Jinhui Shipping (JIN)
58,Northern Drilling Ltd,NODL,2020.0,325924.0,,BMG6624L1090,7487,Mid,Oil & Gas,Energy,6010,Bermuda,N,USD,0,N,N,N,ND,N,N,N,ND,N,ND,ND,0,N,N,N,N,N,-0.294642857,Northern Drilling Ltd (NODL)
59,Odfjell Drilling Ltd,ODL,2018.0,254664.0,NO984 669 151,BMG671801022,69250,Mid,Oil & Gas,Energy,6010,UK,Y,USD,848.2142857,N,N,N,ND,N,N,N,ND,N,1380,ND,0,N,N,N,N,N,-2.392857143,Odfjell Drilling Ltd (ODL)
60,Odfjell Drilling Ltd,ODL,2020.0,254664.0,NO984 669 151,BMG671801022,69250,Mid,Oil & Gas,Energy,6010,UK,Y,USD,830.3571429,Y,Y,Y,3074000,N,N,Y,ND,Y,235,ND,0,N,Y,N,N,Y,0.508928571,Odfjell Drilling Ltd (ODL)
61,Odfjell Drilling Ltd,ODL,2021.0,254664.0,NO987692855,BMG671801022,69250,Mid,Oil & Gas,Energy,6010,Bermuda,Y,USD,771.2973214,Y,Y,Y,2635647,N,N,Y,ND,N,193.124,192.464,1,N,Y,Y,Y,Y,0.248214286,Odfjell Drilling Ltd (ODL)
